Action URI,# Causal Links,# Occurrences,# Images,Causal Links,Interesting Image Sets,Notes
/c/en/eat,40,7198,3358,/c/en/eat-/r/HasFirstSubevent-/c/en/cook-0000(1.0)|/c/en/eat-/r/HasLastSubevent-/c/en/burp-0000(2.0)|/c/en/eat-/r/HasLastSubevent-/c/en/chew-0000(1.0)|/c/en/eat-/r/HasLastSubevent-/c/en/converse-0000(1.0)|/c/en/eat-/r/HasLastSubevent-/c/en/digest-0000(1.0)|/c/en/eat-/r/HasLastSubevent-/c/en/lean_back-0000(1.0)|/c/en/eat-/r/HasLastSubevent-/c/en/swallow-0000(2.828)|/c/en/eat-/r/HasLastSubevent-/c/en/talk-0000(1.0)|/c/en/eat-/r/HasLastSubevent-/c/en/yawn-0000(1.0)|/c/en/eat-/r/HasPrerequisite-/c/en/cook-0000(2.828)|/c/en/eat-/r/HasPrerequisite-/c/en/dine-0000(1.0)|/c/en/eat-/r/HasPrerequisite-/c/en/swallow-0000(2.0)|/c/en/eat-/r/HasPrerequisite-/c/en/work-0000(2.0)|/c/en/eat-/r/HasSubevent-/c/en/chew-0000(2.828)|/c/en/eat-/r/HasSubevent-/c/en/swallow-0000(2.828)|/c/en/eat-/r/MotivatedByGoal-/c/en/survive-0000(2.828)|/c/en/shop-/r/MotivatedByGoal-/c/en/eat-0000(1.0)|/c/en/cook-/r/HasLastSubevent-/c/en/eat-0000(1.0)|/c/en/cook-/r/MotivatedByGoal-/c/en/eat-0000(2.828)|/c/en/urinate-/r/HasLastSubevent-/c/en/eat-0000(1.0)|,2359945 240273 2391774,Changing continuity weight changed which causal hypothesis was accepted
/c/en/think,38,15,15,/c/en/type-/r/HasSubevent-/c/en/think-0000(1.0)|/c/en/start-/r/HasFirstSubevent-/c/en/think-0000(1.0)|/c/en/learn-/r/HasFirstSubevent-/c/en/think-0000(1.0)|/c/en/contemplate-/r/HasPrerequisite-/c/en/think-0000(6.633)|/c/en/contemplate-/r/HasSubevent-/c/en/think-0000(3.464)|/c/en/think-/r/HasPrerequisite-/c/en/concentrate-0000(1.0)|/c/en/think-/r/HasPrerequisite-/c/en/learn-0000(1.0)|/c/en/think-/r/HasPrerequisite-/c/en/relax-0000(2.0)|/c/en/think-/r/HasPrerequisite-/c/en/think-0000(2.828)|/c/en/think-/r/HasSubevent-/c/en/associate-0000(1.0)|/c/en/think-/r/MotivatedByGoal-/c/en/answer-0000(1.0)|/c/en/think-/r/MotivatedByGoal-/c/en/progress-0000(1.0)|/c/en/talk-/r/HasPrerequisite-/c/en/think-0000(2.0)|/c/en/communicate-/r/HasPrerequisite-/c/en/think-0000(2.828)|/c/en/lie-/r/HasFirstSubevent-/c/en/think-0000(1.0)|/c/en/lie-/r/HasPrerequisite-/c/en/think-0000(1.0)|/c/en/write-/r/HasFirstSubevent-/c/en/think-0000(2.0)|/c/en/write-/r/HasPrerequisite-/c/en/think-0000(2.0)|/c/en/write-/r/HasSubevent-/c/en/think-0000(1.0)|,,No valid image sets
/c/en/listen,34,46,37,/c/en/learn-/r/HasPrerequisite-/c/en/listen-0000(1.0)|/c/en/learn-/r/HasSubevent-/c/en/listen-0000(1.0)|/c/en/talk-/r/HasPrerequisite-/c/en/listen-0000(2.0)|/c/en/talk-/r/MotivatedByGoal-/c/en/listen-0000(1.0)|/c/en/communicate-/r/HasLastSubevent-/c/en/listen-0000(1.0)|/c/en/communicate-/r/HasPrerequisite-/c/en/listen-0000(2.828)|/c/en/communicate-/r/HasSubevent-/c/en/listen-0000(1.0)|/c/en/listen-/r/HasLastSubevent-/c/en/answer-0000(1.0)|/c/en/listen-/r/HasLastSubevent-/c/en/relax-0000(1.0)|/c/en/listen-/r/HasLastSubevent-/c/en/talk-0000(1.0)|/c/en/listen-/r/HasPrerequisite-/c/en/concentrate-0000(2.0)|/c/en/listen-/r/HasPrerequisite-/c/en/talk-0000(1.0)|/c/en/listen-/r/HasSubevent-/c/en/hear-0000(1.0)|/c/en/listen-/r/HasSubevent-/c/en/learn-0000(3.464)|/c/en/listen-/r/MotivatedByGoal-/c/en/hear-0000(2.0)|/c/en/listen-/r/MotivatedByGoal-/c/en/learn-0000(4.472)|/c/en/hear-/r/HasPrerequisite-/c/en/listen-0000(1.0)|,,
/c/en/sleep,34,812,611,/c/en/book-/r/CausesDesire-/c/en/sleep-0000(2.0)|/c/en/relax-/r/HasSubevent-/c/en/sleep-0000(4.0)|/c/en/rest-/r/HasPrerequisite-/c/en/sleep-0000(4.0)|/c/en/rest-/r/HasSubevent-/c/en/sleep-0000(1.0)|/c/en/rest-/r/MotivatedByGoal-/c/en/sleep-0000(2.0)|/c/en/shop-/r/HasPrerequisite-/c/en/sleep-0000(1.0)|/c/en/sleep-/r/CausesDesire-/c/en/snore-0000(1.0)|/c/en/sleep-/r/HasLastSubevent-/c/en/awaken-0000(1.0)|/c/en/sleep-/r/HasPrerequisite-/c/en/calm-0000(1.0)|/c/en/sleep-/r/HasPrerequisite-/c/en/relax-0000(2.0)|/c/en/sleep-/r/HasSubevent-/c/en/snore-0000(2.0)|/c/en/sleep-/r/HasSubevent-/c/en/sweat-0000(2.0)|/c/en/sleep-/r/MotivatedByGoal-/c/en/rest-0000(6.0)|/c/en/copulate-/r/HasLastSubevent-/c/en/sleep-0000(1.0)|/c/en/snore-/r/HasLastSubevent-/c/en/sleep-0000(1.0)|/c/en/snore-/r/HasPrerequisite-/c/en/sleep-0000(4.899)|/c/en/snore-/r/HasSubevent-/c/en/sleep-0000(4.472)|,,
/c/en/rest,32,744,585,/c/en/die-/r/HasFirstSubevent-/c/en/rest-0000(1.0)|/c/en/relax-/r/HasPrerequisite-/c/en/rest-0000(1.0)|/c/en/relax-/r/MotivatedByGoal-/c/en/rest-0000(2.828)|/c/en/rest-/r/HasLastSubevent-/c/en/die-0000(1.0)|/c/en/rest-/r/HasPrerequisite-/c/en/bed-0000(1.0)|/c/en/rest-/r/HasPrerequisite-/c/en/nap-0000(1.0)|/c/en/rest-/r/HasPrerequisite-/c/en/relax-0000(4.899)|/c/en/rest-/r/HasPrerequisite-/c/en/sleep-0000(4.0)|/c/en/rest-/r/HasSubevent-/c/en/read-0000(1.0)|/c/en/rest-/r/HasSubevent-/c/en/relax-0000(1.0)|/c/en/rest-/r/HasSubevent-/c/en/sleep-0000(1.0)|/c/en/rest-/r/MotivatedByGoal-/c/en/sleep-0000(2.0)|/c/en/sleep-/r/MotivatedByGoal-/c/en/rest-0000(6.0)|/c/en/play-/r/HasLastSubevent-/c/en/rest-0000(1.0)|/c/en/run-/r/HasLastSubevent-/c/en/rest-0000(1.0)|/c/en/work-/r/CausesDesire-/c/en/rest-0000(1.0)|,,Had a causal flow contradiction between the same two actions (rest and play); one direction had a stronger causal link than the other
/c/en/learn,32,57,47,/c/en/book-/r/CausesDesire-/c/en/learn-0000(1.0)|/c/en/dance-/r/MotivatedByGoal-/c/en/learn-0000(1.0)|/c/en/read-/r/HasSubevent-/c/en/learn-0000(1.0)|/c/en/read-/r/MotivatedByGoal-/c/en/learn-0000(6.633)|/c/en/learn-/r/HasFirstSubevent-/c/en/observe-0000(1.0)|/c/en/learn-/r/HasFirstSubevent-/c/en/think-0000(1.0)|/c/en/learn-/r/HasLastSubevent-/c/en/know-0000(1.0)|/c/en/learn-/r/HasLastSubevent-/c/en/practice-0000(1.0)|/c/en/learn-/r/HasPrerequisite-/c/en/concentrate-0000(1.0)|/c/en/learn-/r/HasPrerequisite-/c/en/listen-0000(1.0)|/c/en/learn-/r/HasPrerequisite-/c/en/read-0000(2.0)|/c/en/learn-/r/HasSubevent-/c/en/listen-0000(1.0)|/c/en/learn-/r/MotivatedByGoal-/c/en/know-0000(2.828)|/c/en/think-/r/HasPrerequisite-/c/en/learn-0000(1.0)|/c/en/listen-/r/HasSubevent-/c/en/learn-0000(3.464)|/c/en/listen-/r/MotivatedByGoal-/c/en/learn-0000(4.472)|,,
/c/en/dance,28,64,46,/c/en/dance-/r/HasLastSubevent-/c/en/bow-0000(1.0)|/c/en/dance-/r/HasLastSubevent-/c/en/stop-0000(1.0)|/c/en/dance-/r/HasLastSubevent-/c/en/stretch-0000(1.0)|/c/en/dance-/r/HasLastSubevent-/c/en/twirl-0000(1.0)|/c/en/dance-/r/HasPrerequisite-/c/en/dance-0000(1.0)|/c/en/dance-/r/HasPrerequisite-/c/en/stretch-0000(1.0)|/c/en/dance-/r/HasSubevent-/c/en/spin-0000(1.0)|/c/en/dance-/r/HasSubevent-/c/en/trip-0000(2.828)|/c/en/dance-/r/MotivatedByGoal-/c/en/honor-0000(1.0)|/c/en/dance-/r/MotivatedByGoal-/c/en/learn-0000(1.0)|/c/en/dance-/r/MotivatedByGoal-/c/en/socialize-0000(1.0)|/c/en/party-/r/HasSubevent-/c/en/dance-0000(1.0)|/c/en/skate-/r/HasSubevent-/c/en/dance-0000(1.0)|/c/en/fiddle-/r/HasSubevent-/c/en/dance-0000(2.0)|,,
/c/en/buy,28,56,38,/c/en/fish-/r/HasPrerequisite-/c/en/buy-0000(1.0)|/c/en/desire-/r/CausesDesire-/c/en/buy-0000(1.0)|/c/en/get-/r/HasPrerequisite-/c/en/buy-0000(2.0)|/c/en/shop-/r/MotivatedByGoal-/c/en/buy-0000(3.464)|/c/en/buy-/r/HasLastSubevent-/c/en/pay-0000(1.0)|/c/en/buy-/r/HasPrerequisite-/c/en/buy-0000(1.0)|/c/en/buy-/r/HasPrerequisite-/c/en/choose-0000(1.0)|/c/en/buy-/r/HasPrerequisite-/c/en/order-0000(1.0)|/c/en/buy-/r/HasPrerequisite-/c/en/pay-0000(2.828)|/c/en/buy-/r/HasSubevent-/c/en/choose-0000(1.0)|/c/en/buy-/r/HasSubevent-/c/en/pay-0000(1.0)|/c/en/buy-/r/MotivatedByGoal-/c/en/better-0000(1.0)|/c/en/buy-/r/MotivatedByGoal-/c/en/own-0000(2.828)|/c/en/skateboard-/r/HasPrerequisite-/c/en/buy-0000(1.0)|,,
/c/en/talk,28,843,663,/c/en/walk-/r/HasSubevent-/c/en/talk-0000(1.0)|/c/en/wine-/r/CausesDesire-/c/en/talk-0000(1.0)|/c/en/eat-/r/HasLastSubevent-/c/en/talk-0000(1.0)|/c/en/talk-/r/HasPrerequisite-/c/en/listen-0000(2.0)|/c/en/talk-/r/HasPrerequisite-/c/en/swallow-0000(1.0)|/c/en/talk-/r/HasPrerequisite-/c/en/think-0000(2.0)|/c/en/talk-/r/MotivatedByGoal-/c/en/communicate-0000(2.828)|/c/en/talk-/r/MotivatedByGoal-/c/en/explain-0000(1.0)|/c/en/talk-/r/MotivatedByGoal-/c/en/listen-0000(1.0)|/c/en/talk-/r/MotivatedByGoal-/c/en/teach-0000(1.0)|/c/en/communicate-/r/HasPrerequisite-/c/en/talk-0000(2.828)|/c/en/communicate-/r/HasSubevent-/c/en/talk-0000(1.0)|/c/en/listen-/r/HasLastSubevent-/c/en/talk-0000(1.0)|/c/en/listen-/r/HasPrerequisite-/c/en/talk-0000(1.0)|,,
/c/en/relax,28,157,141,/c/en/relax-/r/HasFirstSubevent-/c/en/sigh-0000(1.0)|/c/en/relax-/r/HasPrerequisite-/c/en/rest-0000(1.0)|/c/en/relax-/r/HasSubevent-/c/en/sleep-0000(4.0)|/c/en/relax-/r/MotivatedByGoal-/c/en/rest-0000(2.828)|/c/en/rest-/r/HasPrerequisite-/c/en/relax-0000(4.899)|/c/en/rest-/r/HasSubevent-/c/en/relax-0000(1.0)|/c/en/clean-/r/HasLastSubevent-/c/en/relax-0000(1.0)|/c/en/sleep-/r/HasPrerequisite-/c/en/relax-0000(2.0)|/c/en/play-/r/HasPrerequisite-/c/en/relax-0000(2.0)|/c/en/play-/r/MotivatedByGoal-/c/en/relax-0000(1.0)|/c/en/think-/r/HasPrerequisite-/c/en/relax-0000(2.0)|/c/en/urinate-/r/HasPrerequisite-/c/en/relax-0000(1.0)|/c/en/listen-/r/HasLastSubevent-/c/en/relax-0000(1.0)|/c/en/skateboard-/r/MotivatedByGoal-/c/en/relax-0000(1.0)|,,
